Rank,Name,Position,DOB,Highest Level,Age,Career WAR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,Career Earnings
90,Jeurys Familia,RHP,10/10/1989,AA,22.00,6.10,,,,"$78,690.00","$491,750.00","$502,550.00","$523,925.00","$4,100,000.00","$6,816,393.00","$6,135,552.00","$8,000,000.00","$3,703,704.00","$10,000,000.00","$8,119,226.00","$1,500,000.00",,,,,,,,,,,,,,,,,,,,"$49,971,790"
91,Christian Bethancourt,C,9/2/1991,A+,20.00,1.10,,,,,"$58,907.00","$500,000.00","$310,601.00","$511,200.00","$541,800.00",,,,,"$1,026,910.00","$1,350,000.00","$2,069,860.00",,,,,,,,,,,,,,,,,,,"$6,369,278"
92,Tim Beckham,SS,1/27/1990,AAA,22.00,3.90,,,,,"$34,808.00","$191,333.00","$410,922.00","$401,973.00","$885,000.00","$3,350,000.00","$1,047,280.00",,,"$153,860.00",,,,,,,,,,,,,,,,,,,,,"$6,475,176"
93,Ryan Lavarnway,C,8/7/1987,MLB,24.00,-1.10,,,"$93,263.00","$480,000.00","$289,426.00","$253,606.00","$596,611.00",,"$35,076.00","$79,110.00","$29,840.00","$57,222.00","$58,273.00",,,,,,,,,,,,,,,,,,,,,,"$1,879,164"
94,Grant Green,OF,9/27/1987,AA,24.00,-1.60,,,,,"$190,108.00","$502,250.00","$148,139.00","$507,500.00","$26,307.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,374,304"
95,Noah Syndergaard,RHP,8/29/1992,A,19.00,15.70,,,,,,,"$410,437.00","$535,375.00","$605,500.00","$2,975,000.00","$6,000,000.00","$3,592,592.00","$9,700,000.00","$21,000,000.00","$13,000,000.00",,,,,,,,,,,,,,,,,,,,"$57,818,904"
96,Mikie Mahtook,OF,11/30/1989,other,22.00,0.30,,,,,,,"$152,527.00","$349,875.00","$541,300.00","$292,261.00","$43,246.00",,,,,,,,,,,,,,,,,,,,,,,,"$1,379,209"
97,Jed Bradley,LHP,6/12/1990,other,21.00,0.00,,,,,,,,"$88,736.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$88,736"
98,Francisco Peguero,OF,6/1/1988,AA,23.00,0.70,,,"$414,000.00","$480,000.00","$123,295.00","$550,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,153,295"
99,Taylor Guerrieri,RHP,12/1/1992,other,19.00,0.20,,,,,,,,,,"$87,900.00","$226,784.00",,,,,,,,,,,,,,,,,,,,,,,,"$314,684"
100,Addison Reed,RHP,12/27/1988,MLB,23.00,6.00,,,"$65,606.00","$480,000.00","$520,000.00","$538,500.00","$4,875,000.00","$5,300,000.00","$7,750,000.00","$8,250,000.00","$8,500,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$36,213,500"
