Prospect Rank,Name,Position,DOB,Highest Level,Age,Career WAR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,Career Earnings
11,Addison Russell,RHP,9/8/1990,other,21.00,43.20,,,,,"$460,355.00","$527,000.00","$644,000.00","$3,010,752.00","$3,400,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$8,075,295"
12,Jameson Taillon,C,11/28/1989,MLB,22.00,-0.40,,,,,,"$302,257.00","$555,500.00","$571,000.00","$587,500.00","$833,333.00","$2,250,000.00","$5,800,000.00","$14,000,000.00","$18,000,000.00","$18,000,000.00","$18,000,000.00",,,,,,,,,,,,,,,,,,,"$78,932,452"
13,Kris Bryant,LHP,3/13/1991,AAA,20.00,-0.90,,,,,"$471,448.00","$652,000.00","$1,050,000.00","$10,850,000.00","$12,900,000.00","$6,888,889.00","$19,500,000.00","$24,000,000.00","$27,000,000.00","$27,000,000.00","$26,000,000.00","$26,000,000.00","$26,000,000.00","$26,000,000.00",,,,,,,,,,,,,,,,,"$234,345,666"
14,Taijuan Walker,C,6/19/1988,MLB,23.00,4.50,,,"$205,800.00","$304,734.00","$513,100.00","$485,352.00","$2,250,000.00","$4,825,000.00","$5,025,000.00","$1,111,111.00","$10,000,000.00","$10,000,000.00","$18,000,000.00","$18,000,000.00","$18,000,000.00","$18,000,000.00",,,,,,,,,,,,,,,,,,,"$106,752,438"
15,Robert Stephenson,RHP,5/21/1991,MLB,20.00,-2.60,,,,,,"$99,828.00","$377,067.00","$158,220.00","$565,000.00","$219,259.00","$805,000.00","$1,280,000.00","$1,750,000.00","$11,000,000.00","$11,000,000.00","$11,000,000.00","$2,500,000.00",,,,,,,,,,,,,,,,,,"$40,787,770"
16,Noah Syndergaard,LHP,11/28/1989,other,22.00,0.20,,,,,"$410,437.00","$535,375.00","$605,500.00","$2,975,000.00","$6,000,000.00","$3,592,592.00","$9,700,000.00","$21,000,000.00","$13,000,000.00",,,,,,,,,,,,,,,,,,,,,,"$57,851,766"
17,Kevin Gausman,OF,8/3/1992,other,19.00,-1.80,,,"$348,087.00","$249,877.00","$231,049.00","$532,000.00","$3,550,000.00","$5,600,000.00","$9,350,000.00","$3,333,333.00","$18,900,000.00","$21,000,000.00","$21,000,000.00","$24,000,000.00","$23,000,000.00","$23,000,000.00",,,,,,,,,,,,,,,,,,,"$154,128,182"
18,Andrew Heaney,RHP,8/13/1992,A,19.00,12.70,,,,"$123,278.00","$286,627.00","$515,000.00","$543,000.00","$800,000.00","$3,400,000.00","$1,592,593.00","$6,750,000.00","$8,500,000.00","$12,000,000.00","$13,000,000.00","$5,300,000.00",,,,,,,,,,,,,,,,,,,,"$52,844,359"
19,Austin Hedges,OF,12/10/1990,AA,21.00,13.20,,,,,"$424,303.00","$33,408.00","$537,100.00","$553,100.00","$2,060,000.00","$1,111,111.00","$3,280,000.00","$4,000,000.00","$5,000,000.00","$4,000,000.00","$4,000,000.00","$4,000,000.00",,,,,,,,,,,,,,,,,,,"$29,032,273"
20,Kyle Zimmer,RHP,8/10/1992,CPX | DSL | R,19.00,5.60,,,,,,,,,"$185,008.00","$209,537.00","$588,700.00",,,,,,,,,,,,,,,,,,,,,,,,"$1,017,096"
21,Alex Meyer,LHP,7/13/1991,AA,20.00,3.60,,,,,"$22,185.00","$108,147.00","$535,000.00","$551,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,250,288"
22,Gregory Polanco,3B,4/16/1991,A+,20.00,57.80,,,,"$281,396.00","$525,000.00","$3,535,000.00","$1,000,000.00","$3,500,000.00","$5,500,000.00","$2,962,962.00","$11,000,000.00","$3,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"$31,337,780"
23,Yordano Ventura,3B,5/11/1993,CPX | DSL | R,18.00,8.00,,,"$37,486.00","$500,500.00","$1,750,000.00","$1,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,322,112"
24,Dylan Bundy,LHP,11/22/1988,MLB,23.00,13.30,"$1,245,000.00","$1,245,000.00","$1,245,000.00","$1,245,000.00","$1,245,000.00","$1,800,000.00","$1,640,000.00","$1,640,000.00","$2,800,000.00","$1,851,852.00","$8,325,000.00","$5,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"$29,314,357"
25,Jonathan Singleton,C,2/10/1989,AA,23.00,8.20,,,,"$1,500,000.00","$2,000,000.00","$2,000,000.00","$2,000,000.00","$936,170.00","$500,000.00","$250,000.00","$250,000.00",,"$263,228.00","$850,000.00","$303,492.00",,,,,,,,,,,,,,,,,,,,"$10,885,470"
26,Jorge Alfaro,RHP,11/24/1988,MLB,23.00,6.50,,,,,,"$66,552.00","$172,457.00","$547,000.00","$570,000.00","$220,370.00","$2,050,000.00","$2,725,000.00","$158,711.00",,"$145,161.00",,,,,,,,,,,,,,,,,,,,"$6,687,752"
27,Joc Pederson,3B,6/6/1990,other,21.00,34.20,,,,"$76,496.00","$510,000.00","$520,000.00","$500,445.00","$2,600,000.00","$5,000,000.00","$2,870,370.00","$7,000,000.00","$6,000,000.00","$19,650,000.00","$12,500,000.00","$18,500,000.00","$18,500,000.00",,,,,,,,,,,,,,,,,,,"$94,260,396"
28,C.J. Edwards,RHP,5/30/1990,A+,21.00,40.20,,,,,"$74,877.00","$293,938.00","$556,000.00","$594,000.00","$1,262,159.00","$351,852.00","$285,228.00","$569,208.00","$2,250,000.00","$15,912.00","$169,355.00","$37,436.00",,,,,,,,,,,,,,,,,,,"$6,493,049"
29,Alen Hanson,LHP,4/4/1991,AAA,20.00,15.60,,,,,,"$105,374.00","$716,082.00","$457,080.00","$86,536.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,398,440"
30,George Springer,RHP,9/21/1991,A+,20.00,13.80,,,,"$453,512.00","$512,900.00","$522,400.00","$3,900,000.00","$12,000,000.00","$12,000,000.00","$7,777,778.00","$32,000,000.00","$28,000,000.00","$22,500,000.00","$22,500,000.00","$22,550,000.00","$22,500,000.00",,,,,,,,,,,,,,,,,,,"$187,250,126"
31,Kolten Wong,LHP,7/1/1989,AAA,22.00,5.90,,,"$120,491.00","$377,049.00","$520,000.00","$1,250,000.00","$2,500,000.00","$4,000,000.00","$6,500,000.00","$4,796,296.00","$3,000,000.00","$8,000,000.00","$12,616,130.00","$2,500,000.00",,,,,,,,,,,,,,,,,,,,,"$46,212,684"
32,Lucas Giolito,SS,11/14/1993,CPX | DSL | R,18.00,55.60,,,,,,"$108,147.00","$119,843.00","$555,000.00","$573,000.00","$232,222.00","$4,150,000.00","$7,450,000.00","$10,400,000.00","$18,000,000.00","$20,500,000.00","$1,500,000.00","$1,500,000.00",,,,,,,,,,,,,,,,,,"$65,122,573"
33,Marcus Stroman,OF,8/2/1988,AAA,23.00,0.00,,,,"$371,584.00","$514,700.00","$515,900.00","$3,400,000.00","$6,500,000.00","$7,400,000.00","$1,061,360.00","$18,900,000.00","$25,000,000.00","$25,000,000.00","$19,000,000.00","$18,000,000.00",,,,,,,,,,,,,,,,,,,,"$125,695,924"
34,Arismendy Alcantara,SS,9/9/1990,A,21.00,9.80,,,,"$221,311.00","$44,590.00","$152,515.00","$385,140.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$836,712"
35,Clint Frazier,OF,12/5/1991,A,20.00,45.10,,,,,,,"$535,000.00","$297,594.00","$320,968.00","$165,801.00","$2,100,000.00","$1,500,000.00","$166,453.00",,,,,,,,,,,,,,,,,,,,,,"$5,119,458"
36,Jesse Biddle,RHP,11/13/1990,MLB,21.00,3.70,,,,,,"$507,500.00",,"$486,380.00","$908,870.00","$108,070.00","$92,010.00",,,,,,,,,,,,,,,,,,,,,,,,"$2,136,045"
37,Hunter Harvey,1B,8/8/1989,MLB,22.00,40.40,,,,,,,,"$5,860.00","$131,296.00","$209,259.00","$574,000.00","$661,512.00","$870,000.00","$2,325,000.00","$3,700,000.00","$5,000,000.00",,,,,,,,,,,,,,,,,,,"$13,509,717"
38,David Dahl,RHP,3/27/1989,AA,22.00,9.30,,,,,,"$507,500.00","$316,872.00","$452,421.00","$560,000.00","$916,667.00","$2,700,000.00",,"$336,000.00","$255,376.00",,,,,,,,,,,,,,,,,,,,,"$6,077,461"
39,Mike Foltynewicz,1B,4/8/1987,MLB,24.00,8.60,,,,"$161,202.00","$347,506.00","$507,500.00","$544,000.00","$2,200,000.00","$5,475,000.00","$2,379,630.00","$2,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$13,646,746"
40,Nick Castellanos,OF,10/9/1988,AA,23.00,39.30,,,"$80,327.00","$500,000.00","$525,000.00","$536,500.00","$3,000,000.00","$6,050,000.00","$9,950,000.00","$5,925,926.00","$13,924,496.00","$20,000,000.00","$20,000,000.00","$20,000,000.00","$20,000,000.00","$20,000,000.00",,,,,,,,,,,,,,,,,,,"$140,524,736"
41,Matt Wisler,RHP,3/23/1988,MLB,23.00,11.10,,,,,"$302,281.00","$435,361.00","$216,302.00","$149,430.00","$533,310.00","$268,519.00","$1,193,817.00","$2,160,000.00",,,,,,,,,,,,,,,,,,,,,,,"$5,291,279"
42,Maikel Franco,RHP,2/9/1990,MLB,22.00,2.30,,,,,"$393,797.00","$517,500.00","$560,000.00","$2,950,000.00","$5,200,000.00","$1,482,593.00","$800,000.00","$1,250,000.00",,,,,,,,,,,,,,,,,,,,,,,"$13,186,827"
43,Michael Franco,3B,8/27/1988,A+,23.00,-1.50,,,,,"$393,797.00","$517,500.00","$560,000.00","$2,950,000.00","$5,200,000.00","$1,482,593.00","$800,000.00","$1,250,000.00",,,,,,,,,,,,,,,,,,,,,,,"$13,186,294"
44,Henry Owens,1B,9/18/1991,A+,20.00,-1.20,,,,,"$169,166.00","$102,601.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$305,285"
45,Aaron Sanchez,RHP,9/13/1991,A,20.00,-0.30,,,,"$188,524.00","$510,800.00","$492,420.00","$535,000.00","$2,700,000.00","$3,900,000.00",,"$4,000,000.00","$526,368.00",,,,,,,,,,,,,,,,,,,,,,,"$12,886,626"
46,Eddie Butler,SS,11/4/1990,AA,21.00,,,,,,"$250,573.00","$268,981.00","$535,000.00","$570,750.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,658,506"
47,Jorge Soler,RHP,3/27/1990,AA,21.00,13.40,,"$7,000,000.00","$1,000,000.00","$2,000,000.00","$2,000,000.00","$3,000,000.00","$3,000,000.00","$4,000,000.00","$4,000,000.00","$2,703,704.00","$8,250,027.00","$12,000,000.00","$19,000,000.00","$21,962,341.00","$13,000,000.00","$13,000,000.00",,,,,,,,,,,,,,,,,,,"$115,949,065"
48,Hak-Ju Lee,OF,9/28/1988,A+,23.00,0.10,,,,"$500,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$532,437"
49,Eduardo Rodriguez,RHP,5/8/1989,AAA,22.00,4.30,,,,,"$360,519.00","$241,995.00","$584,500.00","$2,375,000.00","$4,325,000.00","$3,074,074.00","$8,300,000.00","$14,000,000.00","$14,000,000.00","$14,000,000.00","$20,000,000.00","$21,000,000.00","$19,000,000.00","$6,000,000.00",,,,,,,,,,,,,,,,,"$127,293,750"
50,Casey Kelly,RHP,10/4/1989,AA,22.00,-1.30,,,"$491,400.00","$501,400.00","$55,464.00","$507,500.00",,"$123,060.00",,,,,,"$19,890.00","$28,602.00",,,,,,,,,,,,,,,,,,,,"$1,760,122"
51,A.J. Cole,3B,3/4/1992,A,19.00,13.00,,,,,"$124,795.00","$122,012.00","$166,611.00","$546,255.00","$555,000.00","$208,703.00","$795,648.00",,,,,,,,,,,,,,,,,,,,,,,,"$2,552,723"
52,Sean Manaea,SS,3/2/1991,AA,20.00,1.30,,,,,,"$435,361.00","$537,500.00","$550,000.00","$3,150,000.00","$1,388,889.00","$5,950,000.00","$9,750,000.00","$12,500,000.00","$14,500,000.00","$17,250,000.00","$17,250,000.00","$17,250,000.00",,,,,,,,"$2,325,000.00","$2,325,000.00","$2,325,000.00","$2,325,000.00","$2,325,000.00","$2,325,000.00","$2,325,000.00","$2,325,000.00","$2,325,000.00","$2,325,000.00","$123,795,070"
53,Jake Odorizzi,C,12/2/1992,A,19.00,14.30,,"$480,000.00","$66,939.00","$503,100.00","$522,000.00","$520,700.00","$4,100,000.00","$6,300,000.00","$9,500,000.00","$6,592,593.00","$8,000,000.00","$7,500,000.00","$14,500,000.00",,,,,,,,,,,,,,,,,,,,,,"$58,619,305"
54,Chris Owings,RHP,9/23/1989,A+,22.00,3.70,,,"$74,972.00","$500,000.00","$512,500.00","$530,500.00","$2,300,000.00","$3,400,000.00","$3,149,194.00","$208,703.00","$1,000,000.00","$368,165.00","$100,646.00",,,,,,,,,,,,,,,,,,,,,,"$12,177,480"
55,Luis Heredia,SS,3/17/1990,A+,21.00,26.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,996"
56,Alex Guerrero,3B,9/9/1988,AAA,23.00,-0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,417"
57,Braden Shipley,OF,8/10/1990,AA,21.00,1.90,,,,,,"$194,110.00","$102,305.00","$164,080.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$493,613"
58,Trevor Bauer,OF,3/30/1991,A,20.00,11.60,"$900,000.00","$1,183,333.00","$2,175,000.00","$2,425,000.00","$1,940,000.00","$1,697,500.00","$3,550,000.00","$6,525,000.00","$13,000,000.00","$6,481,481.00","$38,000,000.00","$3,868,131.00","$22,537,634.00",,,,,,,,,,,,,,,,,,,,,,"$104,316,438"
59,Austin Meadows,OF,11/10/1989,A+,22.00,-2.00,,,,,,,,"$210,960.00","$557,400.00","$214,407.00","$591,400.00","$4,000,000.00","$4,300,000.00",,,,,,,,,,,,,,,,,,,,,,"$9,907,009"
60,Chris Anderson,OF,6/20/1991,A+,20.00,-0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,429"
61,Joe Ross,RHP,5/25/1990,AA,21.00,4.20,,,,,"$257,909.00","$514,400.00","$433,584.00","$567,900.00","$704,256.00",,"$1,500,000.00","$2,400,000.00",,"$1,750,000.00","$4,000,000.00","$1,500,000.00",,,,,,,,,,,,,,,,,,,"$13,661,092"
62,Brian Goodwin,SS,12/1/1992,CPX | DSL | R,19.00,27.40,,,,,,"$119,239.00","$535,000.00","$553,900.00","$583,500.00","$814,814.00","$1,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$3,640,438"
63,Billy McKinney,C,2/23/1989,MLB,23.00,1.60,,,,,,,,"$293,000.00","$403,072.00","$22,372.00","$553,224.00","$162,637.00","$449,036.00","$96,768.00","$53,226.00",,,,,,,,,,,,,,,,,,,,"$2,065,922"
64,Mason Williams,OF,12/30/1988,A+,23.00,0.00,,,,,"$321,693.00","$52,915.00","$535,000.00","$196,310.00","$80,568.00","$52,955.00","$383,375.00",,,,,,,,,,,,,,,,,,,,,,,,"$1,655,346"
65,Tommy La Stella,SS,9/4/1989,A+,22.00,36.50,,,,"$338,797.00","$114,934.00","$438,957.00","$347,874.00","$950,000.00","$1,350,000.00","$1,203,704.00","$2,000,000.00","$5,250,000.00","$10,911,614.00",,,,,,,,,,,,,,,,,,,,,,"$22,938,694"
66,Christian Bethancourt,RHP,4/26/1989,A+,22.00,2.60,,,"$58,907.00","$500,000.00","$310,601.00","$511,200.00","$541,800.00",,,,,"$1,026,910.00","$1,350,000.00","$2,069,860.00",,,,,,,,,,,,,,,,,,,,,"$6,401,927"
67,Rafael Montero,RHP,5/27/1988,MLB,23.00,8.30,,,,"$136,612.00","$477,491.00","$108,147.00","$440,742.00","$558,025.00","$208,880.00","$290,741.00","$2,250,000.00","$2,725,000.00","$11,900,000.00","$11,500,000.00","$9,654,183.00",,,,,,,,,,,,,,,,,,,,"$40,282,142"
68,Stephen Piscotty,C,11/8/1988,AAA,23.00,20.20,,,,,"$210,765.00","$512,500.00","$3,000,000.00","$1,000,000.00","$7,000,000.00","$2,592,592.00","$7,250,000.00","$8,250,000.00",,,,,,,,,,,,,,,,,,,,,,,"$29,848,355"
69,Jose Berrios,OF,8/14/1992,other,19.00,8.70,,,,,,"$205,202.00","$535,000.00","$570,000.00","$620,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,964,060"
70,Tommy Joseph,RHP,2/13/1990,MLB,22.00,24.90,,,,,,"$507,500.00","$543,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,083,464"
71,Rougned Odor,3B,9/23/1988,AA,23.00,9.30,,,,"$393,442.00","$415,572.00","$522,700.00","$3,000,000.00","$3,000,000.00","$7,500,000.00","$3,333,333.00","$24,000,000.00","$15,700,000.00","$477,411.00",,,,,,,,,,,,,,,,,,,,,,"$58,374,899"
72,Matt Barnes,OF,10/2/1989,A+,22.00,13.20,,,,,"$238,967.00","$511,000.00","$563,500.00","$605,000.00","$1,600,000.00","$1,148,148.00","$4,500,000.00","$9,000,000.00","$7,500,000.00","$3,311,460.00",,,,,,,,,,,,,,,,,,,,,"$29,010,893"
73,Luis Sardinas,OF,8/21/1991,CPX | DSL | R,20.00,-0.50,,,,"$243,169.00","$144,207.00","$346,952.00","$145,089.00","$234,400.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,147,308"
74,J.R. Graham,RHP,9/26/1988,AAA,23.00,13.50,"$174,600.00",,,,"$507,500.00","$515,819.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,230,368"
75,Dorssys Paulino,RHP,2/2/1988,MLB,24.00,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,204"
76,Hunter Dozier,SS,10/1/1992,A,19.00,42.00,,,,,,"$85,963.00","$172,870.00","$410,200.00","$567,225.00","$226,111.00","$3,250,000.00","$4,500,000.00","$7,250,000.00","$10,000,000.00",,,,,,,,,,,,,,,,,,,,,"$26,496,308"
77,Jairo Beras,LHP,11/6/1988,AA,23.00,13.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,490"
78,Tyler Glasnow,RHP,10/22/1991,A,20.00,-0.60,,,,,,"$80,417.00","$541,000.00","$552,656.00","$566,700.00","$759,259.00","$4,000,000.00","$5,100,000.00","$5,350,000.00","$28,000,000.00","$30,000,000.00","$30,000,000.00","$30,000,000.00","$21,562,500.00",,,,,,,,,,,,,,,,,"$156,546,084"
79,Daniel Robertson,RHP,2/10/1990,AA,22.00,-2.40,,,,,,,"$280,608.00","$548,300.00","$367,920.00","$413,625.00","$900,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$2,543,387"
80,Dominic Smith,RHP,8/14/1990,A+,21.00,,,,,,,,"$151,996.00","$219,750.00","$541,260.00","$214,380.00","$2,550,000.00","$3,950,000.00","$2,000,000.00","$1,097,521.00","$943,548.00","$1,250,000.00",,,,,,,,,,,,,,,,,,,"$12,951,575"
81,Trevor Story,2B,3/16/1991,A,20.00,4.10,,,,,,"$507,500.00","$540,000.00","$555,000.00","$5,000,000.00","$4,962,963.00","$17,500,000.00","$20,000,000.00","$20,000,000.00","$22,500,000.00","$22,500,000.00","$25,000,000.00","$25,000,000.00","$5,000,000.00",,,,,,,,,,,,,,,,,"$169,098,800"
82,Allen Webster,LHP,6/13/1989,AA,22.00,11.80,,,"$117,814.00","$177,595.00","$135,887.00",,,"$35,160.00","$650,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,149,162"
83,Michael Choice,RHP,1/3/1990,other,22.00,0.70,,,"$80,327.00","$96,010.00","$5,598.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$214,834"
84,Andrew Susac,OF,9/19/1989,CPX | DSL | R,22.00,42.30,"$1,100,000.00",,,"$177,595.00","$468,674.00","$74,871.00","$172,457.00","$46,880.00",,"$3,178.00",,,,,,,,,,,,,,,,,,,,,,,,,"$2,076,489"
85,Enny Romero,RHP,11/7/1989,AA,22.00,33.50,,,"$24,098.00",,"$174,713.00","$510,000.00","$551,000.00","$267,344.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,560,030"
86,Wilmer Flores,RHP,8/10/1988,A+,23.00,0.20,,,"$147,267.00","$327,868.00","$513,543.00","$526,014.00","$2,200,000.00","$3,400,000.00","$4,250,000.00","$1,111,111.00","$3,000,000.00","$3,500,000.00","$6,500,000.00","$6,500,000.00","$3,500,000.00",,,,,,,,,,,,,,,,,,,,"$35,508,191"
87,Jose Peraza,3B,8/28/1989,MLB,22.00,1.20,,,,,"$110,928.00","$274,527.00","$540,000.00","$570,000.00","$2,775,000.00","$1,055,556.00","$510,015.00",,,,,,,,,,,,,,,,,,,,,,,,"$5,868,797"
88,Kyle Crick,RHP,1/5/1992,A,20.00,0.90,,,,,,,"$535,000.00","$501,030.00","$581,500.00","$218,519.00","$494,615.00","$1,250,000.00",,,,,,,,,,,,,,,,,,,,,,,"$3,614,293"
89,Heath Hembree,OF,3/6/1988,MLB,23.00,11.30,,,"$74,972.00","$51,912.00","$267,278.00","$366,036.00","$547,000.00","$581,500.00","$1,312,500.00","$597,222.00","$1,081,920.00","$956,742.00","$3,871.00",,,,,,,,,,,,,,,,,,,,,,"$5,873,195"
90,Delino DeShields,RHP,10/10/1989,AA,22.00,6.10,,,,,"$507,500.00","$322,164.00","$540,300.00","$549,458.00","$1,400,000.00","$694,444.00","$98,144.00",,,,,,,,,,,,,,,,,,,,,,,,"$4,144,829"
91,Max Fried,C,9/2/1991,A+,20.00,1.10,,,,,,,"$143,227.00","$293,000.00","$565,000.00","$216,111.00","$3,500,000.00","$6,850,000.00","$13,500,000.00","$15,000,000.00","$22,000,000.00","$22,000,000.00","$29,000,000.00","$29,000,000.00","$29,000,000.00","$29,000,000.00","$29,000,000.00","$29,000,000.00",,,,,,,,,,,,,"$258,100,842"
92,Trevor Gott,SS,1/27/1990,AAA,22.00,3.90,,,,,"$318,920.00","$87,420.00","$20,461.00","$202,912.00","$567,500.00","$217,963.00","$3,763.00","$725,000.00","$1,200,000.00","$1,500,000.00",,,,,,,,,,,,,,,,,,,,,"$4,876,865"
93,Cesar Puello,C,8/7/1987,MLB,24.00,-1.10,,,,,,,"$137,381.00",,"$614,680.00","$28,035.00",,,,,,,,,,,,,,,,,,,,,,,,,"$812,115"
94,Matt Davidson,OF,9/27/1987,AA,24.00,-1.60,,,"$133,879.00",,,"$507,500.00","$537,000.00","$570,000.00",,"$212,962.00",,"$96,152.00",,,,,,,,,,,,,,,,,,,,,,,"$2,089,562"
95,Nick Kingham,RHP,8/29/1992,A,19.00,15.70,,,,,,,,"$263,700.00","$321,195.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$618,775"
96,Blake Swihart,OF,11/30/1989,other,22.00,0.30,,,,,"$432,622.00","$518,500.00","$90,613.00","$563,500.00","$768,055.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$2,406,154"
97,Tyler Naquin,LHP,6/12/1990,other,21.00,0.00,,,,,,"$451,999.00","$126,526.00","$558,808.00","$574,800.00","$537,037.00","$1,500,000.00","$4,025,000.00","$19,355.00",,,,,,,,,,,,,,,,,,,,,,"$7,826,582"
98,Rosell Herrera,OF,6/1/1988,AA,23.00,0.70,,,,,,,,"$386,760.00","$249,913.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$668,992"
99,Chris Taylor,RHP,12/1/1992,other,19.00,0.20,,,,"$183,060.00","$159,600.00","$188,564.00","$485,218.00","$575,000.00","$3,500,000.00","$2,074,074.00","$7,800,000.00","$15,000,000.00","$15,000,000.00","$13,000,000.00","$17,514,836.00",,,,,,,,,,,,,,,,,,,,"$75,514,310"
100,Tyler Austin,RHP,12/27/1988,MLB,23.00,6.00,,,,,,"$141,423.00","$80,271.00","$420,420.00","$468,661.00",,,,,,,"$1,250,000.00",,,,,,,,,,,,,,,,,,,"$2,393,308"
